Ensembl Gene ID	Ensembl Transcript ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	EntrezGene ID	Strand	HGNC symbol
ENSG00000211814	ENST00000390462	14	21759632	21760211		1	
ENSG00000211815	ENST00000390463	14	21764497	21764989		1	
ENSG00000211816	ENST00000390464	14	21809694	21810286		1	
ENSG00000211817	ENST00000390465	14	21818874	21819471		1	
ENSG00000211818	ENST00000390466	14	21841779	21842278		1	
ENSG00000211819	ENST00000390467	14	21852762	21853191		1	
ENSG00000211820	ENST00000390468	14	21858460	21858963		1	
ENSG00000211821	ENST00000390469	14	21961377	21961873		1	TRDV2
ENSG00000211829	ENST00000390477	14	22001764	22003154	6964	1	TRA@
ENSG00000211830	ENST00000390478	14	22007873	22008446		-1	
ENSG00000211889	ENST00000390537	14	22086287	22089447		1	TRAC
ENSG00000211889	ENST00000390537	14	22086287	22089447		1	TRAV20
ENSG00000211889	ENST00000390537	14	22086287	22089447		1	TRA@
ENSG00000211889	ENST00000390537	14	22086287	22089447		1	TRDV2
ENSG00000211637	ENST00000390282	22	20715392	20715870		1	IGLV4-69
ENSG00000211638	ENST00000390283	22	20783171	20783622		1	IGLV8-61
ENSG00000211639	ENST00000390284	22	20846591	20847074		1	IGLV4-60
ENSG00000211640	ENST00000390285	22	20880199	20880676		1	IGLV6-57
ENSG00000211641	ENST00000390286	22	20886069	20886555		1	IGLV11-55
ENSG00000211642	ENST00000390287	22	20899197	20899661		1	IGLV10-54
ENSG00000211643	ENST00000390288	22	21003021	21003581		1	IGLV5-52
ENSG00000211643	ENST00000390289	22	21003021	21003581		1	IGLV5-52
ENSG00000211644	ENST00000390290	22	21006864	21007325		1	
ENSG00000211645	ENST00000390291	22	21011709	21012174		1	
ENSG00000211646	ENST00000390292	22	21027576	21028086		1	
ENSG00000211647	ENST00000390293	22	21037289	21037781		1	
ENSG00000211648	ENST00000390294	22	21042143	21042610		1	
ENSG00000211649	ENST00000390295	22	21054016	21054455		1	IGLV7-46
ENSG00000211650	ENST00000390296	22	21060383	21060874	651536	1	IGLV5-45
ENSG00000211651	ENST00000390297	22	21065249	21065716		1	IGLV1-44
ENSG00000211651	ENST00000390297	22	21065249	21065716		1	IGL@
ENSG00000211652	ENST00000390298	22	21079390	21079827		1	IGLV7-43
ENSG00000211653	ENST00000390299	22	21094149	21094614		1	IGLV1-40
ENSG00000211653	ENST00000390299	22	21094149	21094614		1	IGL@
ENSG00000211654	ENST00000390300	22	21111881	21112371		1	IGLV5-37
ENSG00000211655	ENST00000390301	22	21116336	21116803		1	IGLV1-36
ENSG00000211656	ENST00000390302	22	21260684	21261159		1	IGLV2-33
ENSG00000211657	ENST00000390303	22	21267037	21267526		1	
ENSG00000211658	ENST00000390304	22	21340796	21341278		1	IGLV3-27
ENSG00000211659	ENST00000390305	22	21359233	21359745		1	IGLV3-25
ENSG00000211660	ENST00000390306	22	21370436	21370906		1	IGLV2-23
ENSG00000211661	ENST00000390307	22	21376814	21377304		1	IGLV3-22
ENSG00000211662	ENST00000390308	22	21384904	21385692		1	IGLV3-21
ENSG00000211662	ENST00000390308	22	21384904	21385692		1	IGL@
ENSG00000211663	ENST00000390309	22	21393148	21393640		1	IGLV3-19
ENSG00000211664	ENST00000390310	22	21407108	21407577		1	IGLV2-18
ENSG00000211665	ENST00000390311	22	21419908	21420408		1	IGLV3-16
ENSG00000211666	ENST00000390312	22	21431230	21431700		1	IGLV2-14
ENSG00000211667	ENST00000390313	22	21444326	21445075		1	IGLV3-12
ENSG00000211668	ENST00000390314	22	21465022	21465492		1	IGLV2-11
ENSG00000211668	ENST00000390314	22	21465022	21465492		1	IGL@
ENSG00000211669	ENST00000390315	22	21484279	21484778		1	IGL@
ENSG00000211670	ENST00000390316	22	21491622	21492252		1	
ENSG00000211671	ENST00000390317	22	21495315	21495783		1	IGL@
ENSG00000211672	ENST00000390318	22	21543718	21544214		1	IGLV4-3
ENSG00000211673	ENST00000390319	22	21553092	21553572		1	IGLV3-1
ENSG00000211675	ENST00000390321	22	21567555	21567874		1	
ENSG00000211677	ENST00000390323	22	21573156	21573475		1	IGLC2
ENSG00000211677	ENST00000390323	22	21573156	21573475		1	IGLC1
ENSG00000211677	ENST00000390323	22	21573156	21573475		1	IGL@
ENSG00000211679	ENST00000390325	22	21578512	21578831		1	IGLC3
ENSG00000211679	ENST00000390325	22	21578512	21578831		1	IGLC2
ENSG00000211679	ENST00000390325	22	21578512	21578831		1	IGLC1
ENSG00000211679	ENST00000390325	22	21578512	21578831		1	IGL@
ENSG00000211683	ENST00000390329	22	21591707	21592030		1	
ENSG00000211685	ENST00000390331	22	21594766	21595085		1	
ENSG00000211686	ENST00000390332	7	38246150	38255698		-1	TRG@
ENSG00000211689	ENST00000390335	7	38266214	38271804	445347	-1	TRGV9
ENSG00000211689	ENST00000390336	7	38266214	38271804		-1	TRGV9
ENSG00000211693	ENST00000390340	7	38297742	38298204		-1	TRGV11
ENSG00000211694	ENST00000390341	7	38305937	38306406		-1	
ENSG00000211695	ENST00000390342	7	38323143	38323618		-1	TRGV9
ENSG00000211696	ENST00000390343	7	38336469	38336947		-1	
ENSG00000211697	ENST00000390344	7	38355481	38355950		-1	TRGV5
ENSG00000211698	ENST00000390345	7	38359841	38360309		-1	
ENSG00000211699	ENST00000390346	7	38364638	38365105		-1	TRGV3
ENSG00000211700	ENST00000390347	7	38368990	38369454		-1	
ENSG00000211701	ENST00000390348	7	38373712	38374181		-1	
ENSG00000211890	ENST00000390538	14	105121536	105125776		-1	IGHA2
ENSG00000211890	ENST00000390539	14	105121536	105125776		-1	IGHA2
ENSG00000211891	ENST00000390540	14	105135073	105139109		-1	IGHE
ENSG00000211891	ENST00000390541	14	105135073	105139109		-1	IGHE
ENSG00000211892	ENST00000390542	14	105159294	105163447		-1	IGHG4
ENSG00000211892	ENST00000390543	14	105159294	105163447		-1	IGHG4
ENSG00000211893	ENST00000390544	14	105178347	105182171		-1	IGHG2
ENSG00000211893	ENST00000390545	14	105178347	105182171		-1	IGHG2
ENSG00000211894	ENST00000390546	14	105205631	105207226		-1	
ENSG00000211895	ENST00000390547	14	105244550	105246046		-1	IGHA1
ENSG00000211896	ENST00000390548	14	105275144	105280452	3492	-1	IGHG1
ENSG00000211896	ENST00000390548	14	105275144	105280452	3492	-1	IGHV4-31
ENSG00000211896	ENST00000390548	14	105275144	105280452	3492	-1	IGHM
ENSG00000211896	ENST00000390549	14	105275144	105280452		-1	IGHG1
ENSG00000211896	ENST00000390549	14	105275144	105280452		-1	IGHV4-31
ENSG00000211896	ENST00000390549	14	105275144	105280452		-1	IGHM
ENSG00000211897	ENST00000390550	14	105303296	105308787		-1	IGHM
ENSG00000211897	ENST00000390550	14	105303296	105308787		-1	IGHG3
ENSG00000211897	ENST00000390551	14	105303296	105308787		-1	IGHM
ENSG00000211897	ENST00000390551	14	105303296	105308787		-1	IGHG3
ENSG00000211897	ENST00000390552	14	105303296	105308787		-1	IGHM
ENSG00000211897	ENST00000390552	14	105303296	105308787		-1	IGHG3
ENSG00000211897	ENST00000390553	14	105303296	105308787		-1	IGHM
ENSG00000211897	ENST00000390553	14	105303296	105308787		-1	IGHG3
ENSG00000211897	ENST00000390554	14	105303296	105308787		-1	IGHM
ENSG00000211897	ENST00000390554	14	105303296	105308787		-1	IGHG3
ENSG00000211897	ENST00000390555	14	105303296	105308787		-1	IGHM
ENSG00000211897	ENST00000390555	14	105303296	105308787		-1	IGHG3
ENSG00000211898	ENST00000390556	14	105374817	105383055		-1	IGHD
ENSG00000211898	ENST00000390557	14	105374817	105383055		-1	IGHD
ENSG00000211899	ENST00000390558	14	105389522	105393367		-1	IGHM
ENSG00000211899	ENST00000390559	14	105389522	105393367		-1	IGHM
ENSG00000211933	ENST00000390593	14	105476654	105477101		-1	
ENSG00000211934	ENST00000390594	14	105523714	105524151		-1	
ENSG00000211935	ENST00000390595	14	105542289	105542726		-1	
ENSG00000211936	ENST00000390596	14	105549153	105549584		-1	
ENSG00000211937	ENST00000390597	14	105565179	105565622		-1	
ENSG00000211938	ENST00000390598	14	105589443	105589898		-1	IGHM
ENSG00000211939	ENST00000390599	14	105610122	105610560		-1	
ENSG00000211940	ENST00000390600	14	105623329	105623774		-1	
ENSG00000211941	ENST00000390601	14	105644276	105644725	100133739	-1	IGH@
ENSG00000211942	ENST00000390602	14	105657180	105657632		-1	
ENSG00000211943	ENST00000390603	14	105681356	105681817		-1	
ENSG00000211944	ENST00000390604	14	105692939	105693390		-1	
ENSG00000211945	ENST00000390605	14	105712606	105713042		-1	
ENSG00000211946	ENST00000390606	14	105738624	105739078		-1	
ENSG00000211947	ENST00000390607	14	105762716	105763169		-1	
ENSG00000211948	ENST00000390608	14	105792324	105792521		-1	
ENSG00000211949	ENST00000390609	14	105796244	105796699		-1	IGHV@
ENSG00000211950	ENST00000390610	14	105804187	105804624		-1	
ENSG00000211951	ENST00000390611	14	105828694	105829137		-1	
ENSG00000211952	ENST00000390612	14	105851556	105851990		-1	
ENSG00000211953	ENST00000390613	14	105862048	105862501	652494	-1	
ENSG00000211954	ENST00000390614	14	105876252	105876689		-1	
ENSG00000211955	ENST00000390615	14	105886765	105887218		-1	
ENSG00000211956	ENST00000390616	14	105900637	105901069		-1	
ENSG00000211957	ENST00000390617	14	105916366	105916819		-1	
ENSG00000211958	ENST00000390618	14	105937450	105937901		-1	
ENSG00000211959	ENST00000390619	14	105948662	105949100		-1	
ENSG00000211960	ENST00000390620	14	105997232	105997689		-1	
ENSG00000211961	ENST00000390621	14	106033974	106034411		-1	
ENSG00000211962	ENST00000390622	14	106038092	106038529		-1	
ENSG00000211963	ENST00000390623	14	106045551	106046005		-1	
ENSG00000211964	ENST00000390624	14	106064857	106065312		-1	
ENSG00000211965	ENST00000390625	14	106083981	106084442		-1	
ENSG00000211966	ENST00000390626	14	106105772	106106207		-1	
ENSG00000211967	ENST00000390627	14	106119715	106120165		-1	
ENSG00000211968	ENST00000390628	14	106149416	106149853		-1	
ENSG00000211969	ENST00000390629	14	106154299	106154730		-1	
ENSG00000211970	ENST00000390630	14	106166169	106166606	100134331	-1	
ENSG00000211971	ENST00000390631	14	106184784	106185242		-1	
ENSG00000211972	ENST00000390632	14	106202076	106202526		-1	
ENSG00000211973	ENST00000390633	14	106240967	106241412	100133862	-1	IGHV1-69
ENSG00000211974	ENST00000390634	14	106249864	106250307	100131845	-1	
ENSG00000211975	ENST00000390635	14	106269975	106270436		-1	
ENSG00000211976	ENST00000390636	14	106281975	106282436		-1	
ENSG00000211977	ENST00000390637	14	106289719	106290174		-1	
ENSG00000211978	ENST00000390638	14	106330373	106330806		-1	
ENSG00000211979	ENST00000390639	14	106353835	106354271		-1	IGHV7-81
ENSG00000211592	ENST00000390237	2	88937989	88938311		-1	IGKC
ENSG00000211598	ENST00000390243	2	88966203	88966786		1	IGKV4-1
ENSG00000211599	ENST00000390244	2	88977926	88978417		1	
ENSG00000211600	ENST00000390245	2	89027932	89028409		-1	IGKV1-5
ENSG00000211601	ENST00000390246	2	89046894	89047372		-1	IGKC
ENSG00000211602	ENST00000390247	2	89059100	89059618	440871	-1	
ENSG00000211603	ENST00000390248	2	89073041	89073512		-1	IGKC
ENSG00000211604	ENST00000390249	2	89090592	89091069	652493	-1	IGKC
ENSG00000211605	ENST00000390250	2	89107781	89108296		-1	
ENSG00000211606	ENST00000390251	2	89120834	89121310		-1	IGKC
ENSG00000211607	ENST00000390252	2	89165786	89166301		-1	
ENSG00000211608	ENST00000390253	2	89180465	89180942		-1	
ENSG00000211609	ENST00000390254	2	89197946	89198423		-1	IGKC
ENSG00000211610	ENST00000390255	2	89223170	89223706		-1	
ENSG00000211611	ENST00000390256	2	89240348	89240901		-1	
ENSG00000211612	ENST00000390257	2	89256925	89257729		-1	IGKV2-24
ENSG00000211613	ENST00000390258	2	89294021	89294497	650405	-1	
ENSG00000211614	ENST00000390259	2	89302292	89303027		-1	IGKV1-5
ENSG00000211615	ENST00000390260	2	89325377	89326164		-1	
ENSG00000211616	ENST00000390261	2	89348871	89349347		-1	
ENSG00000211617	ENST00000390262	2	89378134	89378610		-1	
ENSG00000211618	ENST00000390263	2	89400496	89400972		-1	
ENSG00000211619	ENST00000390264	2	89410986	89411308		-1	
ENSG00000211620	ENST00000390265	2	89589921	89590397		1	
ENSG00000211621	ENST00000390266	2	89613009	89613796	651751	1	
ENSG00000211622	ENST00000390267	2	89623657	89624386		1	
ENSG00000211623	ENST00000390268	2	89662063	89662815		1	
ENSG00000211624	ENST00000390269	2	89680942	89681746		1	
ENSG00000211625	ENST00000390270	2	89715082	89715618		1	
ENSG00000211626	ENST00000390271	2	89745835	89746387		1	
ENSG00000211627	ENST00000390272	2	89758963	89759440	647506	1	
ENSG00000211628	ENST00000390273	2	89776410	89776887		1	IGKC
ENSG00000211629	ENST00000390274	2	89791050	89791565		1	
ENSG00000211630	ENST00000390275	2	89830253	89830729		1	
ENSG00000211631	ENST00000390276	2	89836021	89836497		1	IGKC
ENSG00000211632	ENST00000390277	2	89849045	89849560		1	
ENSG00000211633	ENST00000390278	2	89866370	89866838		1	
ENSG00000211634	ENST00000390279	2	89886225	89886702		1	
ENSG00000211635	ENST00000390280	2	89897079	89897555		1	
ENSG00000211636	ENST00000390281	2	89911009	89911542		1	
ENSG00000211702	ENST00000390349	7	141647309	141647743		1	
ENSG00000211703	ENST00000390350	7	141654907	141655366		1	
ENSG00000211704	ENST00000390351	7	141659531	141659984		1	
ENSG00000211705	ENST00000390352	7	141667379	141667848		1	
ENSG00000211706	ENST00000390353	7	141674660	141675092		1	
ENSG00000211707	ENST00000390354	7	141678521	141679009		1	
ENSG00000211708	ENST00000390355	7	141691835	141692288		1	
ENSG00000211709	ENST00000390356	7	141695655	141696087	642231	1	
ENSG00000211709	ENST00000390356	7	141695655	141696087	647343	1	
ENSG00000211710	ENST00000390357	7	141709095	141709548		1	
ENSG00000211711	ENST00000390358	7	141717336	141717768		1	
ENSG00000211712	ENST00000390359	7	141720969	141721465		1	
ENSG00000211713	ENST00000390360	7	141749279	141749713		1	
ENSG00000211714	ENST00000390361	7	141752850	141753306		1	
ENSG00000211715	ENST00000390362	7	141757668	141758134		1	
ENSG00000211716	ENST00000390363	7	141760404	141760878		1	
ENSG00000211717	ENST00000390364	7	141768395	141768844		1	
ENSG00000211718	ENST00000390365	7	141776154	141776601		1	
ENSG00000211719	ENST00000390366	7	141793461	141793910		1	
ENSG00000211720	ENST00000390367	7	141802421	141802859		1	
ENSG00000211721	ENST00000390368	7	141819478	141819913		1	
ENSG00000211722	ENST00000390369	7	141823636	141824097		1	
ENSG00000211723	ENST00000390370	7	141831583	141832047		1	TRBV5-4
ENSG00000211724	ENST00000390371	7	141838053	141838485		1	
ENSG00000211725	ENST00000390372	7	141851028	141851492		1	
ENSG00000211726	ENST00000390373	7	141856336	141856768		1	
ENSG00000211727	ENST00000390374	7	141860651	141861143		1	
ENSG00000211728	ENST00000390375	7	141868540	141869005		1	
ENSG00000211729	ENST00000390376	7	141875852	141876280		1	
ENSG00000211730	ENST00000390377	7	141880094	141880595		1	
ENSG00000211731	ENST00000390378	7	141888557	141889023		1	
ENSG00000211732	ENST00000390379	7	141895863	141896294		1	
ENSG00000211733	ENST00000390380	7	141900477	141900960		1	
ENSG00000211734	ENST00000390381	7	141908693	141909159		1	
ENSG00000211735	ENST00000390382	7	141917894	141918366		1	TRB@
ENSG00000211736	ENST00000390383	7	141924413	141924896		1	
ENSG00000211737	ENST00000390384	7	141932825	141933274		1	
ENSG00000211738	ENST00000390385	7	141943473	141943910		1	
ENSG00000211739	ENST00000390386	7	141949075	141949521		1	
ENSG00000211740	ENST00000390387	7	141952398	141952844		1	
ENSG00000211741	ENST00000390388	7	141969589	141970035		1	
ENSG00000211742	ENST00000390389	7	141976532	141976964		1	
ENSG00000211743	ENST00000390390	7	141981607	141982075		1	
ENSG00000211744	ENST00000390391	7	141990232	141990966		1	
ENSG00000211745	ENST00000390392	7	142004303	142004921		1	
ENSG00000211746	ENST00000390393	7	142007563	142008038		1	
ENSG00000211747	ENST00000390394	7	142015233	142015905		1	
ENSG00000211748	ENST00000390395	7	142025416	142025876		1	
ENSG00000211749	ENST00000390396	7	142034456	142034952		1	
ENSG00000211750	ENST00000390397	7	142043797	142044273		1	
ENSG00000211751	ENST00000390398	7	142058172	142058639		1	
ENSG00000211752	ENST00000390399	7	142102795	142103267		1	
ENSG00000211753	ENST00000390400	7	142108085	142108565		1	
ENSG00000211754	ENST00000390401	7	142127703	142128316		1	
ENSG00000211762	ENST00000390409	7	142199506	142200953		1	TRBC1
ENSG00000211762	ENST00000390409	7	142199506	142200953		1	TRBV19
ENSG00000211762	ENST00000390410	7	142199506	142200953		1	TRBC1
ENSG00000211762	ENST00000390410	7	142199506	142200953		1	TRBV19
ENSG00000211772	ENST00000390420	7	142208852	142210340		1	TRBC2
ENSG00000211772	ENST00000390420	7	142208852	142210340		1	TRBV3-1
ENSG00000211772	ENST00000390420	7	142208852	142210340		1	TRBV5-4
ENSG00000211772	ENST00000390420	7	142208852	142210340		1	TRBV7-2
ENSG00000211773	ENST00000390421	7	142220395	142221097		-1	
ENSG00000162775	ENST00000393601	1	110678039	110690818		1	RBM15
ENSG00000162775	ENST00000294837	1	110678039	110690818		1	RBM15
ENSG00000162775	ENST00000369784	1	110678039	110690818	64783	1	RBM15
ENSG00000142733	ENST00000374041	1	27554257	27565970		-1	MAP3K6
ENSG00000142733	ENST00000374036	1	27554257	27565970		-1	MAP3K6
ENSG00000142733	ENST00000357582	1	27554257	27565970	9064	-1	MAP3K6
ENSG00000142733	ENST00000374040	1	27554257	27565970	9064	-1	MAP3K6
ENSG00000177693	ENST00000326183	1	58954	59871	79501	1	OR4F5
ENSG00000177799	ENST00000327169	1	357522	358460	81399	1	OR4F29
ENSG00000177799	ENST00000327169	1	357522	358460	26683	1	OR4F29
ENSG00000177799	ENST00000327169	1	357522	358460	729759	1	OR4F29
ENSG00000185097	ENST00000332831	1	610959	611897	81399	-1	OR4F16
ENSG00000185097	ENST00000332831	1	610959	611897	26683	-1	OR4F16
ENSG00000185097	ENST00000332831	1	610959	611897	729759	-1	OR4F16
ENSG00000197049	ENST00000358533	1	711183	712376		1	
ENSG00000177757	ENST00000326734	1	742614	745077	400728	1	FAM87B
ENSG00000187634	ENST00000341065	1	850393	869824		1	SAMD11
ENSG00000187634	ENST00000342066	1	850393	869824	148398	1	SAMD11
ENSG00000188976	ENST00000327044	1	869459	884494	26155	-1	NOC2L
ENSG00000188976	ENST00000327044	1	869459	884494	100133473	-1	NOC2L
ENSG00000187961	ENST00000338591	1	885830	890958	339451	1	KLHL17
ENSG00000187583	ENST00000379407	1	891740	900339		1	PLEKHN1
ENSG00000187583	ENST00000379410	1	891740	900339	84069	1	PLEKHN1
ENSG00000187583	ENST00000379409	1	891740	900339		1	PLEKHN1
ENSG00000187642	ENST00000341290	1	900447	907336		-1	C1orf170
ENSG00000188290	ENST00000304952	1	924208	925333	57801	-1	HES4
ENSG00000187608	ENST00000379389	1	938742	939782	9636	1	ISG15
ENSG00000188157	ENST00000379370	1	945366	981355	375790	1	AGRN
ENSG00000188157	ENST00000379364	1	945366	981355		1	AGRN
ENSG00000217801	ENST00000403855	1	988308	994570		1	
ENSG00000215916	ENST00000379325	1	1007068	1041338		-1	
ENSG00000131591	ENST00000294576	1	1007061	1041341		-1	C1orf159
ENSG00000131591	ENST00000379339	1	1007061	1041341		-1	C1orf159
ENSG00000131591	ENST00000379334	1	1007061	1041341	54991	-1	C1orf159
ENSG00000131591	ENST00000379320	1	1007061	1041341		-1	C1orf159
ENSG00000131591	ENST00000379319	1	1007061	1041341	54991	-1	C1orf159
ENSG00000131591	ENST00000253892	1	1007061	1041341		-1	C1orf159
ENSG00000205231	ENST00000379317	1	1098299	1104798	100132716	-1	
ENSG00000162571	ENST00000379289	1	1099146	1123178	254173	1	TTLL10
ENSG00000162571	ENST00000379290	1	1099146	1123178		1	TTLL10
ENSG00000162571	ENST00000400931	1	1099146	1123178	254173	1	TTLL10
ENSG00000162571	ENST00000379288	1	1099146	1123178	254173	1	TTLL10
ENSG00000186891	ENST00000328596	1	1128752	1131952	8784	-1	TNFRSF18
ENSG00000186891	ENST00000379268	1	1128752	1131952	8784	-1	TNFRSF18
ENSG00000186891	ENST00000379265	1	1128752	1131952	8784	-1	TNFRSF18
ENSG00000186827	ENST00000379236	1	1136583	1139411	7293	-1	TNFRSF4
ENSG00000186827	ENST00000379234	1	1136583	1139411		-1	TNFRSF4
ENSG00000078808	ENST00000403997	1	1142177	1157274	51150	-1	SDF4
ENSG00000078808	ENST00000263741	1	1142177	1157274	51150	-1	SDF4
ENSG00000078808	ENST00000360001	1	1142177	1157274		-1	SDF4
ENSG00000176022	ENST00000379198	1	1157492	1160284	126792	1	B3GALT6
ENSG00000184163	ENST00000330388	1	1167696	1171965	388581	-1	FAM132A
ENSG00000160087	ENST00000348298	1	1179157	1199097	118424	-1	UBE2J2
ENSG00000160087	ENST00000349431	1	1179157	1199097	118424	-1	UBE2J2
ENSG00000160087	ENST00000360466	1	1179157	1199097	118424	-1	UBE2J2
ENSG00000160087	ENST00000339385	1	1179157	1199097	118424	-1	UBE2J2
ENSG00000160087	ENST00000400930	1	1179157	1199097	118424	-1	UBE2J2
ENSG00000160087	ENST00000400929	1	1179157	1199097	118424	-1	UBE2J2
ENSG00000160087	ENST00000347370	1	1179157	1199097	118424	-1	UBE2J2
ENSG00000162572	ENST00000379101	1	1204310	1217267		1	SCNN1D
ENSG00000162572	ENST00000379099	1	1204310	1217267	6339	1	SCNN1D
ENSG00000162572	ENST00000325425	1	1204310	1217267	6339	1	SCNN1D
ENSG00000162572	ENST00000379116	1	1204310	1217267		1	SCNN1D
ENSG00000162572	ENST00000379110	1	1204310	1217267		1	SCNN1D
ENSG00000162572	ENST00000400928	1	1204310	1217267	6339	1	SCNN1D
ENSG00000162572	ENST00000338555	1	1204310	1217267	6339	1	SCNN1D
ENSG00000131584	ENST00000354700	1	1217633	1233132	116983	-1	ACAP3
ENSG00000131584	ENST00000353662	1	1217633	1233132		-1	ACAP3
ENSG00000131584	ENST00000354980	1	1217633	1233132		-1	ACAP3
ENSG00000131584	ENST00000379037	1	1217633	1233132		-1	ACAP3
ENSG00000169972	ENST00000379031	1	1233857	1236919	126789	1	PUSL1
ENSG00000127054	ENST00000294579	1	1236828	1249909		-1	CPSF3L
ENSG00000127054	ENST00000323275	1	1236828	1249909	54973	-1	CPSF3L
ENSG00000215792	ENST00000343938	1	1250006	1254139	80772	1	GLTPD1
ENSG00000187488	ENST00000360706	1	1250006	1254139		1	
ENSG00000169962	ENST00000339381	1	1256589	1260550	83756	1	TAS1R3
ENSG00000107404	ENST00000378891	1	1260522	1274623	1855	-1	DVL1L1
ENSG00000107404	ENST00000378891	1	1260522	1274623	1855	-1	DVL1
ENSG00000107404	ENST00000378888	1	1260522	1274623		-1	DVL1L1
ENSG00000107404	ENST00000378888	1	1260522	1274623		-1	DVL1
ENSG00000107404	ENST00000345100	1	1260522	1274623		-1	DVL1L1
ENSG00000107404	ENST00000345100	1	1260522	1274623		-1	DVL1
ENSG00000107404	ENST00000263743	1	1260522	1274623		-1	DVL1L1
ENSG00000107404	ENST00000263743	1	1260522	1274623		-1	DVL1
ENSG00000162576	ENST00000342753	1	1277935	1286506		-1	MXRA8
ENSG00000162576	ENST00000378864	1	1277935	1286506		-1	MXRA8
ENSG00000162576	ENST00000309212	1	1277935	1286506	54587	-1	MXRA8
ENSG00000175756	ENST00000338338	1	1298973	1300443	54998	-1	AURKAIP1
ENSG00000175756	ENST00000338370	1	1298973	1300443	54998	-1	AURKAIP1
ENSG00000175756	ENST00000321751	1	1298973	1300443	54998	-1	AURKAIP1
ENSG00000175756	ENST00000378853	1	1298973	1300443	54998	-1	AURKAIP1
ENSG00000221978	ENST00000408952	1	1311738	1324560	81669	-1	CCNL2
ENSG00000221978	ENST00000408918	1	1311738	1324560	81669	-1	CCNL2
ENSG00000131586	ENST00000344843	1	1327164	1332524	55052	-1	MRPL20
ENSG00000131586	ENST00000344843	1	1327164	1332524	642393	-1	MRPL20
ENSG00000205116	ENST00000378821	1	1351371	1353030	643965	1	
ENSG00000179403	ENST00000338660	1	1360772	1366008	64856	1	VWA1
ENSG00000179403	ENST00000339380	1	1360772	1366008	64856	1	VWA1
ENSG00000215915	ENST00000378774	1	1374932	1394342		1	ATAD3C
ENSG00000215915	ENST00000378785	1	1374932	1394342		1	ATAD3C
ENSG00000160072	ENST00000360489	1	1397006	1421444		1	ATAD3B
ENSG00000160072	ENST00000308647	1	1397006	1421444	83858	1	ATAD3B
ENSG00000160072	ENST00000378741	1	1397006	1421444		1	ATAD3B
ENSG00000160072	ENST00000378736	1	1397006	1421444		1	ATAD3B
ENSG00000160072	ENST00000378737	1	1397006	1421444		1	ATAD3B
ENSG00000197785	ENST00000378755	1	1437394	1459928	55210	1	ATAD3A
ENSG00000197785	ENST00000378756	1	1437394	1459928		1	ATAD3A
ENSG00000197785	ENST00000339113	1	1437394	1459928		1	ATAD3A
ENSG00000197785	ENST00000378759	1	1437394	1459928		1	ATAD3A
