miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.454940	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.454940	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	7	3.184580	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.909880	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112778-46112799:+	1	0.454940	N	stemloop
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	2.274700	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	21	9.553740	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	24	10.918560	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.454940	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.454940	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.454940	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112825:+	1	0.454940	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.454940	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113712:+	1	0.454940	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.454940	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	6	2.729640	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	15	6.824100	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	815	370.776109	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	21030	9567.388444	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	6352	2889.778954	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	12956	5894.202790	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2232	1015.426106	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	0.909880	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	1	0.454940	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	11	5.004340	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	10	4.549400	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	27	12.283380	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	12	5.459280	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.454940	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.454940	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	8	3.639520	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	0.909880	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	4	1.819760	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	0.909880	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113743-46113765:+	1	0.454940	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113762:+	2	0.909880	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.454940	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	24	10.918560	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	96	43.674241	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.454940	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.454940	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.454940	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	4	1.819760	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	9	4.094460	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	5	2.274700	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	86	39.124841	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	276	125.563443	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	311	141.486344	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1259	572.769475	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	44	20.017361	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.454940	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	4	1.819760	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.454940	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.454940	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	4	1.819760	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	6	2.729640	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	32	14.558080	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.454940	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178857:+	1	0.454940	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	3	1.364820	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.454940	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	28	12.738320	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	70	31.845801	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	224	101.906563	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	21	9.553740	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.454940	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	8	3.639520	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	3	1.364820	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178913:+	1	0.454940	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	23	10.463620	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	91	41.399541	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	259	117.829463	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	2	0.909880	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	9	4.094460	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692771-51692793:+	1	0.454940	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.454940	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	4	1.819760	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	2	0.909880	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	71	32.300741	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	310	141.031404	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	717	326.191988	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	26	11.828440	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	1	0.454940	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692822:+	1	0.454940	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	4	1.819760	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692858:+	3	1.364820	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	12	5.459280	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	18	8.188920	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	1	0.454940	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	20	9.098800	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	15	6.824100	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	251	114.189943	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	1006	457.669652	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	2851	1297.033973	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	14	6.369160	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	1	0.454940	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	14	6.369160	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	2	0.909880	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	3	1.364820	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	2	0.909880	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	3	1.364820	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	1	0.454940	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	2	0.909880	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	81	36.850141	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	2	0.909880	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	12	5.459280	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	2840	1292.029633	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	2	0.909880	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557265:-	3	1.364820	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557267:-	2	0.909880	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	1015	461.764112	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	4	1.819760	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557267:-	1	0.454940	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	232	105.546083	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	7	3.184580	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557267:-	2	0.909880	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	17	7.733980	N	mature,MIMAT0000067
hsa-let-7g	hg38:chr3:52268278-52268301:-	4	1.819760	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	2	0.909880	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	49	22.292061	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268281-52268301:-	2	0.909880	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268331-52268352:-	1	0.454940	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268355:-	1	0.454940	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268358:-	22	10.008680	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268359:-	1	0.454940	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268355:-	1	0.454940	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268357:-	3	1.364820	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	649	295.256068	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	5	2.274700	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	115	52.318101	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	2	0.909880	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	14	6.369160	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268359:-	4	1.819760	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	2	0.909880	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268359:-	1	0.454940	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268340-52268358:-	6	2.729640	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603691-62603710:+	3	1.364820	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603711:+	6	2.729640	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	147	66.876182	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	266	121.014043	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	310	141.031404	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603693-62603713:+	1	0.454940	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603712:+	1	0.454940	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603714:+	1	0.454940	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603696-62603714:+	1	0.454940	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603767:+	29	13.193260	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	37	16.832780	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	48	21.837121	N	mature,MIMAT0004585
hsa-mir-1-1	hg38:chr20:62554351-62554373:+	1	0.454940	N	mature,MIMAT0000416
hsa-mir-100	hg38:chr11:122152273-122152297:-	2	0.909880	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152297:-	7	3.184580	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152296:-	25	11.373500	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152297:-	625	284.337507	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152294:-	1	0.454940	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152296:-	71	32.300741	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152297:-	3498	1591.380161	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152296:-	1	0.454940	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152297:-	29	13.193260	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152278-122152297:-	8	3.639520	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152279-122152297:-	2	0.909880	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152280-122152297:-	3	1.364820	N	mature,MIMAT0000098
hsa-mir-101-1	hg38:chr1:65058440-65058463:-	1	0.454940	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058459:-	1	0.454940	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058462:-	1	0.454940	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058463:-	384	174.696964	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058464:-	1	0.454940	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058442-65058459:-	2	0.909880	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058442-65058462:-	2	0.909880	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058442-65058463:-	779	354.398269	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058442-65058464:-	303	137.846824	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058443-65058462:-	3	1.364820	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058443-65058463:-	5983	2721.906089	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058443-65058464:-	3473	1580.006660	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058444-65058463:-	113	51.408221	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058444-65058464:-	152	69.150882	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058445-65058464:-	4	1.819760	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058477-65058499:-	1	0.454940	N	mature,MIMAT0004513
hsa-mir-101-1	hg38:chr1:65058478-65058500:-	3	1.364820	N	mature,MIMAT0004513
hsa-mir-101-1	hg38:chr1:65058479-65058499:-	1	0.454940	N	mature,MIMAT0004513
hsa-mir-101-1	hg38:chr1:65058479-65058500:-	1	0.454940	N	mature,MIMAT0004513
hsa-mir-101-1	hg38:chr1:65058499-65058520:-	1	0.454940	N	precursor
hsa-mir-101-2	hg38:chr9:4850344-4850363:+	5	2.274700	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850344-4850364:+	155	70.515702	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850344-4850365:+	3532	1606.848121	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850344-4850366:+	276	125.563443	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850344-4850367:+	2	0.909880	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850363:+	1	0.454940	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850364:+	127	57.777381	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850365:+	5833	2653.665088	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850366:+	784	356.672969	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850367:+	411	186.980345	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850368:+	51	23.201941	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850369:+	6	2.729640	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850346-4850364:+	1	0.454940	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850346-4850365:+	5	2.274700	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850346-4850366:+	1	0.454940	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850346-4850367:+	1	0.454940	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850347-4850365:+	1	0.454940	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850347-4850367:+	1	0.454940	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850347-4850368:+	1	0.454940	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850347-4850369:+	3	1.364820	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850348-4850365:+	1	0.454940	N	mature,MIMAT0000099
hsa-mir-103a-1	hg38:chr5:168560902-168560927:-	3	1.364820	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560903-168560925:-	3	1.364820	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560903-168560927:-	30	13.648200	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560923:-	5	2.274700	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560924:-	1	0.454940	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560925:-	226	102.816443	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560926:-	51	23.201941	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560927:-	9296	4229.122348	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560928:-	3	1.364820	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560905-168560923:-	3	1.364820	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560905-168560925:-	10	4.549400	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560905-168560926:-	9	4.094460	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560905-168560927:-	1312	596.881295	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560906-168560927:-	16	7.279040	Y	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560908-168560927:-	1	0.454940	Y	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560940-168560964:-	2	0.909880	N	unannotated
hsa-mir-103a-1	hg38:chr5:168560941-168560964:-	48	21.837121	N	unannotated
hsa-mir-103a-2	hg38:chr20:3917504-3917527:+	1	0.454940	N	mature,MIMAT0009196
hsa-mir-103a-2	hg38:chr20:3917540-3917564:+	4	1.819760	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917560:+	2	0.909880	Y	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917561:+	2	0.909880	Y	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917562:+	37	16.832780	Y	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917563:+	1327	603.705395	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917564:+	9477	4311.466490	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917565:+	37	16.832780	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917566:+	3	1.364820	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917542-3917560:+	1	0.454940	Y	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917542-3917563:+	7	3.184580	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917542-3917564:+	67	30.480981	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917543-3917563:+	5	2.274700	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917543-3917564:+	195	88.713302	N	mature,MIMAT0000101
